,Date,Exchange Rate
201,2022-01-31,415.26
202,2022-01-28,415.83
203,2022-01-27,415.66
204,2022-01-26,415.49
205,2022-01-25,415.32
206,2022-01-24,415.14
207,2022-01-21,415.03
208,2022-01-20,414.95
209,2022-01-19,414.8
210,2022-01-18,414.67
211,2022-01-17,414.5
212,2022-01-14,414.39
213,2022-01-13,414.29
214,2022-01-12,414.11
215,2022-01-11,413.94
216,2022-01-10,413.76
217,2022-01-07,413.64
218,2022-01-06,413.46
219,2022-01-05,413.29
220,2022-01-04,413.17
